metric,value
duration,4100.317649309996
completed,4096
request_throughput,0.9989469963843599
input_throughput,2269.1659026870107
output_throughput,255.73043107439614
total_throughput,2524.896333761407
mean_e2e_latency_ms,31977.399777365998
median_e2e_latency_ms,31989.45794949759
p99_e2e_latency_ms,39347.56809019528
mean_ttft_ms,31554.578579895748
median_ttft_ms,31981.69901499932
p99_ttft_ms,39347.57376699782
mean_tpot_ms,1.658122343020591
median_tpot_ms,-2.227842581787092e-05
p99_tpot_ms,122.32437607765628
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.943727459781663
total_input_tokens,9304301
total_output_tokens,1048576
total_input_tokens_retokenized,
total_output_tokens_retokenized,18212
